income,loan_amount,credit_score,loan_term_months,dependents,employment_years,existing_loans,approved
64934,215680,634,36,0,7.3,0,1
52235,113877,774,36,0,1.1,0,1
67954,156728,592,60,2,4.9,1,0
85461,117641,578,48,0,0,0,1
50317,119585,607,36,3,5.7,2,0
50317,128358,564,12,1,2.1,0,0
86584,165549,661,48,3,8.1,0,1
70349,116488,796,48,3,0.6,1,1
45611,237903,679,36,1,6.3,1,0
65851,87377,627,48,0,8.7,0,1
45732,136919,624,36,0,1.9,1,1
45685,119219,509,24,0,2.4,0,0
59839,251288,729,60,2,2.2,0,1
16734,163759,643,24,0,3.5,1,0
20502,222229,634,36,0,6.6,0,0
43754,46011,900,36,1,3.3,0,1
34743,168694,677,24,3,1.6,1,0
61285,212274,582,12,0,0,2,0
36840,155760,612,12,0,9.8,0,1
26754,224584,753,12,0,10,0,1
84313,113790,660,36,3,6.7,0,1
50484,248654,521,48,1,2.6,2,0
56351,310923,733,36,0,7.2,1,0
26505,124601,590,48,0,7.8,0,1
44112,118815,819,24,0,4.2,0,1
57218,251737,747,60,0,5.1,0,1
31980,260570,610,48,3,8.7,1,0
62514,113400,765,12,2,0.1,1,1
42987,120587,656,36,1,8,1,1
49166,130275,727,24,2,4.1,2,0
42966,55888,694,12,0,1.7,0,1
92046,85694,574,24,2,1.9,0,1
54730,79710,592,60,2,2.4,0,1
33846,96254,743,36,0,1.4,0,0
71451,147572,620,36,2,10.3,0,1
30583,166395,614,60,0,6.5,0,0
59177,258535,564,36,0,8.2,1,0
15807,80115,688,48,0,6.7,1,0
28436,218903,836,24,1,5.2,0,0
58937,135021,554,12,2,5.2,0,1
69769,146538,652,60,3,3.8,0,1
58427,197237,777,48,1,4.1,1,1
52687,71409,643,12,2,0.8,1,0
48978,176769,691,12,2,8.2,0,1
25430,161652,554,60,0,0,0,0
40603,184472,689,48,1,1.8,0,0
45787,170242,633,12,0,11,0,0
76142,321871,739,12,1,5.4,0,1
61872,105358,757,48,3,5.5,1,1
19739,112830,883,36,0,6.9,1,1
61482,106380,702,12,2,0.4,0,1
47298,111117,679,24,1,0.8,1,0
41462,105383,667,48,1,3.7,2,0
67234,233231,618,12,0,2.3,0,1
75620,249435,680,60,0,4.8,0,1
73626,110048,623,24,0,6.5,2,1
38216,91735,665,12,0,9.2,0,1
48816,182999,769,24,0,7.4,2,0
61625,111344,559,24,1,2,2,0
74511,194305,753,36,0,3.9,1,1
45417,164205,769,24,2,3.1,1,0
51287,43898,639,36,1,2,1,0
32873,258325,459,48,1,1.3,1,0
31076,275711,595,36,1,10,0,0
71251,107105,767,60,1,5,0,1
82125,122861,648,12,3,4.3,0,1
53560,170011,560,48,0,6.5,1,0
75071,173412,605,48,0,6.6,0,1
62233,196098,726,60,2,8.4,0,1
42098,290714,699,36,0,2.8,0,1
62228,137614,628,12,0,6.2,1,1
85761,94119,617,36,0,2.3,2,0
54283,53448,615,24,0,4.4,2,1
86293,98835,567,36,1,5.2,0,1
15000,147681,795,48,0,5.5,1,1
71438,275619,621,12,2,5.3,1,0
56741,113767,760,36,2,7.4,0,1
49020,165665,787,12,1,3.2,0,1
56835,148850,740,12,1,5.5,0,1
15249,233188,611,24,2,2.7,2,0
50607,326885,686,24,0,13.8,0,0
62142,112839,648,48,2,2.3,0,1
84558,115739,569,60,2,2.9,1,1
44635,223091,679,12,2,7.6,0,1
38830,197732,544,60,1,3.7,0,0
44965,279270,757,48,0,7.6,1,0
73308,190875,608,12,1,5.5,0,1
61575,124850,668,12,2,3.8,1,1
44405,191346,675,60,0,2.7,0,0
65265,227609,627,36,2,2.6,1,0
56942,207434,703,24,0,3.8,1,0
74373,185509,607,36,0,4.5,0,1
40959,224667,728,60,0,2.5,0,0
48447,231851,529,24,0,4.7,1,0
